"address";"lat";"long"
"CR 53 A 45 84  BELLO , Colombia";6,33191424081771;-75,5618940822612
"CR 82 A 30 61 MEDELLIN , Colombia";6,23155735330996;-75,6044477639308
"CL 79 SUR 55 95  LA ESTRELLA , Colombia";6,15614848207797;-75,6307538931485
"CR 35 19 620  MEDELLIN , Colombia";6,22800503448956;-75,5474449021497
"CL 104 A 76 114  BELLO , Colombia";6,34034000000003;-75,55916
"CR 25 A 40 28  MEDELLIN , Colombia";6,2324200133944;-75,5526700129512
"CR 45 A 79 SUR 134  SABANETA , Colombia";6,1460392335332;-75,6227661713863
"CL 3 A SUR 79 53  MEDELLIN , Colombia";6,20701999692574;-75,6009500266989
"CL 67 99 183  MEDELLIN , Colombia";6,29011735220713;-75,6096775747764
"CR 51 98 SUR 237  LA ESTRELLA , Colombia";6,12726144161233;-75,6354469124891
"CR 76 A 53 215  MEDELLIN , Colombia";6,265629994;-75,58951996
"CR 76 A 53 35   MEDELLIN , Colombia";6,264759994;-75,59008004
"CR 59 70 349  ITAGUI , Colombia";6,17811334;-75,61298972
"CL 65 C 91 117  MEDELLIN , Colombia";6,281109986;-75,59977554
"CL 19 43 G 80  MEDELLIN , Colombia";6,222294009;-75,56953254
"CR 51 96 SUR 50  LA ESTRELLA , Colombia";6,134251853;-75,63574534
"CL 37 45 200  BELLO , Colombia";6,324613375;-75,54939958
"CL 39 52 95  BELLO , Colombia";6,326381943;-75,57133493
"CL 16 41 51  MEDELLIN , Colombia";6,21614001;-75,56784
"CL 65 SUR 35 12  SABANETA , Colombia";6,154595644;-75,61324842
"CL 42 108 A 215  MEDELLIN , Colombia";6,255572752;-75,62328897
"CR 39 E 48 F SUR 85  ENVIGADO , Colombia";6,15463236;-75,59809468
"CL 47 B SUR  69 94  SAN ANTONIO DE PRADO , Colombia";6,17950003;-75,64858047
"CL 73 SUR 63 AA 185  LA ESTRELLA , Colombia";6,165435645;-75,64674524
"CL 52 B SUR 39 E 37  ENVIGADO , Colombia";6,155791278;-75,60123715
"CL 70 58 133  ITAGUI , Colombia";6,182674292;-75,59881732
"AV 31 DG 65 125  BELLO , Colombia";6,346781124;-75,53944844
"CL 79 C SUR 55 C 207  LA ESTRELLA , Colombia";6,154085423;-75,6335314
